article_id,project_id,user_id,user_type,clicked_at
45,2,78,resident,2017-06-27 01:30:13
45,2,78,resident,2017-08-07 14:48:44
45,2,78,resident,2018-02-16 05:02:48
45,10,78,guest,2017-06-27 01:23:13
45,10,78,guest,2017-08-07 14:47:44
45,10,78,guest,2018-02-16 05:02:48
45,2,56,guest,2017-04-08 01:24:21
45,2,56,guest,2017-06-03 06:17:01
45,2,98,resident,2017-07-26 13:45:33
45,2,98,resident,2017-08-14 03:29:19
45,10,98,owner,2017-07-26 13:45:33
45,10,98,owner,2017-08-14 03:28:19
45,6,98,resident,2017-07-26 13:44:33
45,6,98,resident,2017-08-14 03:26:19
45,2,53,guest,2018-01-29 21:27:07
45,2,68,guest,2017-06-02 09:37:20
45,2,68,guest,2017-04-19 13:41:15
45,2,68,guest,2018-02-09 09:35:46
45,3,68,guest,2017-06-02 09:42:20
45,3,68,guest,2017-04-19 13:39:15
45,3,68,guest,2018-02-09 09:43:46
45,2,85,owner,2017-04-07 23:28:50
45,2,85,owner,2018-04-08 20:10:57
45,3,85,resident,2017-04-07 23:32:50
45,3,85,resident,2018-04-08 20:12:57
45,6,85,owner,2017-04-07 23:23:50
45,6,85,owner,2018-04-08 20:16:57
45,2,87,resident,2018-02-16 01:08:04
45,2,87,resident,2017-07-17 06:41:41
45,2,87,resident,2017-06-23 22:28:14
45,2,87,resident,2017-10-13 04:53:13
45,6,87,resident,2018-02-16 01:06:04
45,6,87,resident,2017-07-17 06:39:41
45,6,87,resident,2017-06-23 22:27:14
45,6,87,resident,2017-10-13 05:02:13
45,9,87,resident,2018-02-16 01:01:04
45,9,87,resident,2017-07-17 06:39:41
45,9,87,resident,2017-06-23 22:30:14
45,9,87,resident,2017-10-13 04:55:13
45,2,6,owner,2017-09-07 13:38:59
45,2,23,guest,2017-08-09 13:50:26
45,2,23,guest,2017-06-25 21:29:37
45,3,23,owner,2017-08-09 13:47:26
45,3,23,owner,2017-06-25 21:30:37
45,2,1,resident,2017-12-14 06:30:18
45,9,1,tenant,2017-12-14 06:33:18
45,2,31,guest,2017-06-15 10:44:37
45,2,31,guest,2017-04-27 16:42:39
45,10,31,guest,2017-06-15 10:47:37
45,10,31,guest,2017-04-27 16:45:39
45,2,2,guest,2018-01-23 00:19:24
45,6,2,resident,2018-01-23 00:22:24
45,2,84,owner,2017-07-25 21:55:44
45,2,84,owner,2018-03-27 01:36:43
45,2,84,owner,2018-01-25 16:59:56
45,2,84,owner,2017-05-22 00:25:03
45,2,84,owner,2017-07-13 01:15:14
45,3,84,resident,2017-07-25 21:57:44
45,3,84,resident,2018-03-27 01:31:43
45,3,84,resident,2018-01-25 16:57:56
45,3,84,resident,2017-05-22 00:24:03
45,3,84,resident,2017-07-13 01:17:14
45,6,84,resident,2017-07-25 21:54:44
45,6,84,resident,2018-03-27 01:30:43
45,6,84,resident,2018-01-25 17:01:56
45,6,84,resident,2017-05-22 00:24:03
45,6,84,resident,2017-07-13 01:14:14
45,2,11,resident,2017-08-31 19:14:17
45,10,11,resident,2017-08-31 19:10:17
45,6,11,tenant,2017-08-31 19:17:17
45,9,11,guest,2017-08-31 19:11:17
45,2,47,resident,2018-02-02 13:11:54
45,2,32,resident,2017-04-22 05:07:55
45,2,32,resident,2017-12-10 11:34:52
45,3,32,owner,2017-04-22 05:10:55
45,3,32,owner,2017-12-10 11:37:52
45,9,32,tenant,2017-04-22 05:08:55
45,9,32,tenant,2017-12-10 11:35:52
45,2,5,owner,2018-01-05 04:29:05
45,10,5,guest,2018-01-05 04:32:05
45,3,5,owner,2018-01-05 04:27:05
45,2,90,resident,2018-04-06 01:19:53
45,9,90,resident,2018-04-06 01:18:53
45,2,71,guest,2018-01-01 18:02:57
45,2,71,guest,2017-04-09 07:22:05
45,10,71,guest,2018-01-01 18:00:57
45,10,71,guest,2017-04-09 07:22:05
45,3,71,owner,2018-01-01 18:03:57
45,3,71,owner,2017-04-09 07:23:05
51,2,93,owner,2018-02-19 05:32:04
51,10,93,owner,2018-02-19 05:25:04
51,3,93,owner,2018-02-19 05:32:04
51,5,93,tenant,2018-02-19 05:33:04
51,2,56,guest,2017-08-26 19:00:52
51,7,56,resident,2017-08-26 19:05:52
51,4,56,owner,2017-08-26 19:05:52
51,2,98,resident,2017-12-27 10:32:44
51,2,98,resident,2017-05-18 13:57:10
51,2,98,resident,2017-08-26 22:14:59
51,10,98,owner,2017-12-27 10:35:44
51,10,98,owner,2017-05-18 13:52:10
51,10,98,owner,2017-08-26 22:11:59
51,6,98,resident,2017-12-27 10:29:44
51,6,98,resident,2017-05-18 13:56:10
51,6,98,resident,2017-08-26 22:12:59
51,2,54,tenant,2017-04-08 02:11:25
51,1,54,owner,2017-04-08 02:12:25
51,2,53,guest,2017-08-22 23:59:39
51,2,53,guest,2017-12-26 23:50:10
51,2,68,guest,2017-08-28 08:26:25
51,3,68,guest,2017-08-28 08:24:25
51,5,68,tenant,2017-08-28 08:27:25
51,4,68,tenant,2017-08-28 08:23:25
51,1,68,resident,2017-08-28 08:32:25
51,2,85,owner,2017-10-11 06:20:05
51,3,85,resident,2017-10-11 06:22:05
51,7,85,owner,2017-10-11 06:26:05
51,6,85,owner,2017-10-11 06:25:05
51,1,85,owner,2017-10-11 06:21:05
51,2,87,resident,2017-12-26 17:42:34
51,6,87,resident,2017-12-26 17:38:34
51,1,87,owner,2017-12-26 17:42:34
51,9,87,resident,2017-12-26 17:44:34
51,2,6,owner,2018-03-27 00:34:25
51,2,6,owner,2017-05-22 00:15:40
51,7,6,tenant,2018-03-27 00:31:25
51,7,6,tenant,2017-05-22 00:10:40
51,2,23,guest,2017-11-01 04:26:23
51,2,23,guest,2018-01-20 21:19:00
51,3,23,owner,2017-11-01 04:22:23
51,3,23,owner,2018-01-20 21:19:00
51,7,23,resident,2017-11-01 04:22:23
51,7,23,resident,2018-01-20 21:21:00
